,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
16127,88.64729218608156,100.0,657.0,96.0,,1.0,7,58,7.0,84.0,1.0,3.0,16,0.0,6,10,,19.41474,-99.15897,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.76,4.76,4.53,5.0,4.71,4.88,4.82,1.41
16184,88.12251212440705,94.0,253.0,95.0,,1.0,21,350,45.0,75.0,1.0,1.0,7,0.0,3,4,,19.44534,-99.20399,1125.0,1.0,15,1125.0,1125.0,1.0,1.0,1.0,17.0,1.0,17.0,4.76,4.76,4.53,5.0,4.71,4.88,4.82,1.41
16186,88.12251212440705,94.0,251.0,95.0,,1.0,21,356,51.0,81.0,1.0,1.0,7,0.0,3,4,,19.446308,-99.203026,1125.0,1.0,15,1125.0,1125.0,1.0,1.0,1.0,3.0,0.0,3.0,5.0,5.0,5.0,5.0,4.67,5.0,4.67,0.38
16193,88.12251212440705,94.0,250.0,95.0,,1.0,21,356,51.0,81.0,1.0,1.0,7,0.0,3,4,,19.446308,-99.203026,1125.0,1.0,15,1125.0,1125.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0.17
16238,80.77559126096378,95.0,420.0,81.0,,2.0,30,365,60.0,90.0,1.0,1.0,5,1.0,3,1,,19.28972,-99.16602,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,15.0,1.0,15.0,4.33,4.53,4.27,4.53,4.87,4.27,4.27,1.26
16273,79.72603113761474,0.0,584.7,79.0,,1.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.41562,-99.16602,365.0,30.0,365,365.0,365.0,30.0,30.0,30.0,0.0,0.0,0.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16357,79.72603113761474,80.0,250.0,79.0,,1.0,2,303,55.8,29.0,1.0,1.0,11,0.0,8,3,,19.37972,-99.18828,365.0,2.0,365,365.0,365.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16442,88.64729218608156,100.0,600.0,96.0,,1.0,28,273,56.0,86.0,1.0,4.0,16,0.0,6,10,,19.4162,-99.15866,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16448,88.64729218608156,100.0,600.0,96.0,,1.0,20,267,50.0,80.0,1.0,4.0,16,0.0,6,10,,19.4148,-99.15896,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,9.0,0.0,9.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16450,88.64729218608156,100.0,971.0,96.0,,1.0,6,57,6.0,84.0,1.0,4.0,16,0.0,6,10,,19.41475,-99.15893,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.83,4.87,4.7,4.91,4.91,4.74,4.87,2.21
16750,77.62691089091666,80.0,185.0,75.0,,1.0,27,349,57.0,87.0,1.0,1.0,4,0.0,2,2,,19.42613,-99.14969,365.0,1.0,365,43.5,1.0,1.0,1.0,1.0,23.0,0.2,23.0,4.83,4.87,4.7,4.91,4.91,4.74,4.87,2.21
16754,77.62691089091666,80.0,185.0,75.0,,1.0,29,350,59.0,89.0,1.0,1.0,4,0.0,2,2,,19.427097,-99.150787,365.0,1.0,365,41.1,1.0,1.0,1.0,1.0,54.0,0.2,3.3,4.59,4.72,4.54,4.81,4.87,4.57,4.7,0.8
17002,77.62691089091666,80.0,202.0,75.0,,3.0,30,365,60.0,90.0,1.0,1.0,2,0.0,1,1,,19.56018,-99.1412,13.0,1.0,13,13.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17069,79.72603113761474,80.0,584.7,79.0,,2.0,27,87,57.0,87.0,1.0,1.0,1,0.0,0,1,,19.437611,-99.138817,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17305,79.72603113761474,80.0,204.0,79.0,,1.0,0,302,55.8,27.0,1.0,2.0,11,0.0,8,3,,19.37923,-99.18746,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17707,68.18086978077531,100.0,250.0,57.0,,1.0,0,333,28.0,58.0,1.0,1.0,2,1.0,0,1,,19.39802,-99.15563,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,0.0,2.0,4.5,4.5,5.0,4.5,4.5,5.0,4.5,0.25
17748,90.74641243277964,86.0,5000.0,100.0,,3.0,30,365,60.0,90.0,1.0,3.0,1,0.0,0,1,,19.5172969,-99.1269486,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,1.0,0.0,1.0,4.6,4.7,4.5,4.7,4.7,4.5,4.6,0.2
17790,75.52779064421858,86.0,202.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46435,-99.14403,365.0,15.0,365,365.0,365.0,15.0,15.0,15.0,1.0,0.0,1.0,4.6,4.7,4.5,4.7,4.7,4.5,4.6,0.13
